Datetime,Measured & Upscaled,Most recent forecast,Monitored capacity,ShiftMeasured,Fluctuation15M,PredFluctuation15M,ShiftFluctuation15M
2022-01-01 00:00:00,1803.48,1881.52,2254.4,1803.48,0.0,78.03999999999996,0.0
2022-01-01 00:15:00,1962.39,1855.5,2254.4,1803.48,158.91000000000008,52.01999999999998,0.0
2022-01-01 00:30:00,1801.63,1823.16,2254.4,1962.39,-160.76,-139.23000000000002,158.91000000000008
2022-01-01 00:45:00,1824.41,1795.96,2254.4,1801.63,22.779999999999973,-5.670000000000073,-160.76
2022-01-01 01:00:00,1661.57,1779.28,2254.4,1824.41,-162.84000000000015,-45.13000000000011,22.779999999999973
2022-01-01 01:15:00,1537.71,1743.19,2254.4,1661.57,-123.8599999999999,81.62000000000012,-162.84000000000015
2022-01-01 01:30:00,1369.23,1681.49,2254.4,1537.71,-168.48000000000002,143.77999999999997,-123.8599999999999
2022-01-01 01:45:00,1279.94,1635.11,2254.4,1369.23,-89.28999999999996,265.8799999999999,-168.48000000000002
2022-01-01 02:00:00,1295.7,1574.07,2254.4,1279.94,15.759999999999991,294.1299999999999,-89.28999999999996
2022-01-01 02:15:00,1362.66,1529.81,2254.4,1295.7,66.96000000000004,234.1099999999999,15.759999999999991
2022-01-01 02:30:00,1487.22,1481.82,2254.4,1362.66,124.55999999999995,119.15999999999985,66.96000000000004
2022-01-01 02:45:00,1557.98,1433.83,2254.4,1487.22,70.75999999999999,-53.3900000000001,124.55999999999995
2022-01-01 03:00:00,1312.72,1381.36,2254.4,1557.98,-245.26,-176.62000000000012,70.75999999999999
2022-01-01 03:15:00,1447.08,1416.29,2254.4,1312.72,134.3599999999999,103.56999999999994,-245.26
2022-01-01 03:30:00,1512.77,1454.57,2254.4,1447.08,65.69000000000005,7.490000000000009,134.3599999999999
2022-01-01 03:45:00,1464.49,1500.58,2254.4,1512.77,-48.27999999999997,-12.190000000000055,65.69000000000005
2022-01-01 04:00:00,1431.2,1539.26,2254.4,1464.49,-33.289999999999964,74.76999999999998,-48.27999999999997
2022-01-01 04:15:00,1372.76,1579.29,2254.4,1431.2,-58.440000000000055,148.08999999999992,-33.289999999999964
2022-01-01 04:30:00,1380.47,1624.48,2254.4,1372.76,7.710000000000036,251.72000000000003,-58.440000000000055
2022-01-01 04:45:00,1308.22,1657.85,2254.4,1380.47,-72.25,277.3799999999999,7.710000000000036
2022-01-01 05:00:00,1257.84,1694.92,2254.4,1308.22,-50.38000000000011,386.70000000000005,-72.25
2022-01-01 05:15:00,1227.63,1724.58,2254.4,1257.84,-30.20999999999981,466.74,-50.38000000000011
2022-01-01 05:30:00,1209.37,1746.12,2254.4,1227.63,-18.26000000000022,518.4899999999998,-30.20999999999981
2022-01-01 05:45:00,1382.18,1773.03,2254.4,1209.37,172.81000000000017,563.6600000000001,-18.26000000000022
2022-01-01 06:00:00,1580.7,1794.2,2254.4,1382.18,198.51999999999998,412.02,172.81000000000017
