sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,23786.430000000008,13.484370748299323,362.2299999999998,13.484370748299323,362.2299999999998,1764
2,39547.439999999995,36.99479887745556,789.15,18.49739943872778,739.15,1069
3,36552.29,58.11174880763116,530.5199999999998,19.370582935877056,241.90999999999983,629
4,38372.36,92.68685990338165,743.91,23.17171497584541,384.55999999999983,414
5,31720.49,126.88196,554.04,25.376392,277.9399999999998,250
6,26846.870000000003,174.3303246753247,1100.41,29.055054112554114,535.79,154
7,25920.420000000002,207.36336000000003,945.28,29.623337142857146,580.8399999999999,125
8,24683.49,257.1196875,1176.0500000000004,32.1399609375,510.2800000000002,96
9,20460.85,330.01370967741934,1532.6,36.66818996415771,1042.1,62
10,19534.559999999998,383.0305882352941,1106.1100000000001,38.30305882352941,382.4100000000001,51
11,13559.65,484.2732142857143,1399.6200000000001,44.02483766233765,923.44,28
12,21032.4,478.00909090909096,1402.5,39.83409090909091,524.69,44
13,14721.33,545.2344444444444,1760.51,41.94111111111111,560.1,27
14,15659.839999999998,711.810909090909,1330.2400000000002,50.843636363636364,712.9699999999998,22
15,9521.039999999999,634.736,1097.69,42.315733333333334,292.96000000000004,15
16,12783.9,852.26,1515.1900000000003,53.26625,455.5899999999999,15
17,10306.84,858.9033333333333,1345.3600000000001,50.52372549019608,265.9000000000002,12
18,10806.47,900.5391666666666,1417.6899999999998,50.029953703703704,398.6299999999999,12
19,10730.85,1073.085,2202.8200000000006,56.47815789473684,820.51,10
20,11827.220000000001,985.6016666666668,1466.8899999999999,49.28008333333333,233.18999999999988,12
21,12131.9,1102.8999999999999,2138.8300000000004,52.51904761904762,1106.66,11
22,5749.37,1149.874,1435.97,52.266999999999996,355.1100000000001,5
23,11531.71,1441.46375,1886.11,62.67233695652174,454.2299999999999,8
25,4050.66,1350.22,1567.47,54.0088,188.35,3
26,4099.26,1366.42,1614.27,52.55461538461538,228.97000000000003,3
27,9595.39,1199.42375,1684.9699999999998,44.42310185185185,301.8599999999999,8
28,3226.77,1613.385,1885.8400000000001,57.62089285714285,313.04999999999995,2
29,4801.780000000001,1600.5933333333335,1961.8900000000003,55.19287356321839,275.4399999999998,3
30,1760.11,1760.11,1760.11,58.67033333333333,244.1199999999999,1
31,5290.54,1763.5133333333333,1978.2100000000003,56.887526881720426,295.30999999999995,3
32,4135.92,2067.96,2149.63,64.62375,232.5,2
33,5770.7699999999995,1923.59,2173.83,58.29060606060606,226.79000000000008,3
34,2199.59,2199.59,2199.59,64.69382352941177,222.80999999999997,1
35,2032.0299999999997,2032.0299999999997,2032.0299999999997,58.05799999999999,208.01,1
36,3776.0,1888.0,2144.7,52.44444444444444,285.5,2
37,1953.5100000000002,1953.5100000000002,1953.5100000000002,52.797567567567576,342.0,1
39,2089.8399999999997,2089.8399999999997,2089.8399999999997,53.58564102564102,174.17000000000007,1
41,2183.5800000000004,2183.5800000000004,2183.5800000000004,53.25804878048781,134.18000000000006,1
42,2053.8799999999997,2053.8799999999997,2053.8799999999997,48.90190476190475,84.54999999999973,1
