,sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
0,1,60166.41000000013,57.85231730769243,694.6800000000001,57.85231730769243,694.6800000000001,1040
1,2,33670.86000000001,378.32426966292144,1010.0500000000002,189.16213483146072,748.95,89
2,3,23202.33,610.5876315789474,1201.14,203.5292105263158,735.8400000000001,38
3,4,15156.240000000002,891.5435294117648,1731.4299999999998,222.8858823529412,693.1699999999998,17
4,5,13250.47,1019.266923076923,1777.0099999999998,203.8533846153846,696.4699999999999,13
5,6,9601.55,1200.19375,1901.26,200.03229166666665,821.5699999999999,8
6,8,701.8000000000002,701.8000000000002,701.8000000000002,87.72500000000002,129.55999999999997,1
7,9,1535.2799999999997,1535.2799999999997,1535.2799999999997,170.58666666666664,542.0199999999998,1
8,10,1731.3700000000001,1731.3700000000001,1731.3700000000001,173.137,432.6399999999999,1
