,sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
0,1,54048.63000000016,50.702279549718725,245.32000000000005,50.702279549718725,245.32000000000005,1066
1,2,9563.190000000004,170.77125000000007,559.5,85.38562500000003,367.44000000000005,56
2,3,3427.8600000000006,380.8733333333334,972.0000000000001,126.95777777777782,636.3399999999998,9
3,4,2497.3100000000004,624.3275000000001,885.4300000000001,156.08187500000003,412.01,4
4,5,1666.9500000000003,555.6500000000001,702.9100000000002,111.13000000000004,211.7700000000001,3
5,6,960.8100000000005,480.40500000000026,528.2200000000001,80.06750000000005,144.34000000000017,2
6,8,2185.63,728.5433333333334,924.6200000000001,91.06791666666668,305.68999999999994,3
7,9,831.88,831.88,831.88,92.43111111111111,211.83000000000004,1
