,sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
0,1,78362.54000000001,108.68590846047158,738.6300000000001,108.68590846047158,738.6300000000001,721
1,2,133228.75,285.2864025695931,1176.71,142.64320128479656,956.63,467
2,3,59294.840000000004,439.2210370370371,1866.5699999999997,146.40701234567902,952.12,135
3,4,46911.16,642.6186301369863,1654.71,160.65465753424658,1001.5700000000004,73
4,5,13929.71,696.4855,1862.79,139.2971,664.04,20
5,6,10587.0,705.8,1186.73,117.63333333333334,555.1600000000003,15
6,7,6918.1,864.7625,1579.42,123.53750000000001,565.21,8
7,8,7318.420000000001,1219.736666666667,1902.5300000000004,152.46708333333336,523.01,6
8,9,2235.44,1117.72,1170.1200000000001,124.19111111111111,269.5,2
9,11,3221.24,1610.62,1639.97,146.42000000000002,333.4899999999998,2
10,13,3060.9700000000003,1530.4850000000001,1833.47,117.72961538461539,392.9499999999998,2
