,sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
0,1,55220.91000000012,57.402193347193474,691.4599999999998,57.402193347193474,691.4599999999998,962
1,2,26187.710000000003,231.74964601769915,1030.1200000000001,115.87482300884957,681.95,113
2,3,16901.56,402.41809523809525,1353.48,134.1393650793651,767.7999999999998,42
3,4,10776.77,513.1795238095239,1235.1100000000001,128.29488095238096,496.3599999999999,21
4,5,6177.33,772.16625,1266.58,154.43325,500.7300000000001,8
5,6,6555.070000000001,728.3411111111112,1339.7,121.3901851851852,518.4100000000001,9
6,7,2633.1600000000003,877.7200000000001,1130.3600000000001,125.38857142857144,367.57,3
7,8,1787.13,893.565,1044.62,111.695625,278.98,2
8,9,836.87,836.87,836.87,92.98555555555555,174.93000000000006,1
