,sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
0,1,60500.25000000014,59.841988130563934,1014.27,59.841988130563934,1014.27,1011
1,2,32963.87,302.4208256880734,903.6600000000003,151.2104128440367,681.6999999999998,109
2,3,31503.800000000007,470.2059701492538,1339.17,156.7353233830846,1106.62,67
3,4,17092.4,633.0518518518519,1656.56,158.26296296296297,741.29,27
4,5,2130.5900000000006,532.6475000000002,909.21,106.52950000000003,322.6,4
5,6,4566.280000000001,913.2560000000001,1139.6499999999999,152.20933333333335,548.9000000000001,5
6,7,2967.7800000000007,741.9450000000002,961.8900000000002,105.99214285714288,290.73,4
7,10,1413.39,1413.39,1413.39,141.339,423.72,1
8,11,1471.17,1471.17,1471.17,133.74272727272728,260.31999999999994,1
