,sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
0,1,92246.98,128.29899860917942,1166.16,128.29899860917942,1166.16,719
1,2,71749.53,279.18105058365757,1054.79,139.59052529182878,743.6700000000001,257
2,3,33686.04,461.45260273972605,1469.26,153.81753424657535,658.0900000000001,73
3,4,17134.239999999998,611.9371428571428,1168.71,152.9842857142857,451.1499999999999,28
4,5,7922.299999999999,792.2299999999999,1947.4,158.44599999999997,850.1300000000001,10
5,6,7901.43,1128.7757142857142,1792.46,188.12928571428571,981.36,7
6,7,3971.6899999999996,992.9224999999999,1376.1299999999997,141.8460714285714,355.3299999999999,4
7,9,1353.53,1353.53,1353.53,150.39222222222222,236.58999999999992,1
8,10,2659.74,1329.87,1550.82,132.987,274.5799999999999,2
