,连续向上越限波动段功率差的和值的总和,连续向上波动段功率差和值的平均值,连续向上波动段和值功率差的和值的最大值,长度为2~5的连续向上波动段和值功率差的和值的最大值,连续向上波动段计数,长度为2~5的连续向上波动段计数,连续向下越限波动段功率差的和值的总和,连续向下波动段功率差和值的平均值,连续向下波动段和值功率差的和值的最大值,长度为2~5的连续向下波动段和值功率差的和值的最大值,连续向下波动段计数,长度为2~5的连续向下波动段计数
无储能,411213.3099999999,364.87,2001.29,1834.0900000000001,1127.0,1066.0,388487.55,344.71,1834.2,1834.2,1127.0,1066.0
方案1,146378.5,383.19,1947.4,1947.4,382.0,368.0,150499.27000000002,393.98,1769.8900000000003,1769.8900000000003,382.0,368.0
方案2,188305.52000000002,487.84,2001.3100000000002,1849.27,386.0,359.0,319011.52999999997,826.45,1904.3300000000002,1784.21,386.0,359.0
方案3,79440.62000000001,364.41,1576.2999999999997,1333.2100000000003,218.0,206.0,71855.6,329.61,1353.48,1353.48,218.0,206.0
方案4,94109.28000000003,431.69,1656.56,1656.56,218.0,207.0,90732.51000000001,416.2,1565.9200000000005,1565.9200000000005,218.0,207.0
