,季节,峰度,偏度
0,春季,34.365877592761386,-0.15792811172114432
1,夏季,20.93769468091268,-0.3364402046637407
2,秋季,14.615566632792266,0.09853119558046441
3,冬季,11.667254501459624,0.2372984131227926
