,Measured & Upscaled,Most recent forecast,Monitored capacity,ShiftMeasured,Fluctuation15M,PredFluctuation15M,ShiftFluctuation15M,abs_Fluctuation15M,above_line
count,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0,4466.0
mean,1124.8778213166145,1316.7793931930137,2254.3999999999996,1005.0718047469771,119.80601656963726,311.7075884460367,48.06577474249888,119.80601656963726,69.80601656963725
std,616.0316460958094,599.9282949378013,1.896508792534682e-10,603.0525579314742,84.50800932513657,309.57214465265423,114.55631340270457,84.50800932513657,84.50800932513658
min,71.62,3.65,2254.4,-5.31,50.02000000000004,-1128.4699999999998,-678.59,50.02000000000004,0.020000000000038654
25%,586.9875,809.3824999999999,2254.4,484.135,67.65999999999997,99.95499999999998,-5.044999999999959,67.65999999999997,17.659999999999975
50%,1055.26,1382.02,2254.4,912.0350000000001,91.34500000000008,270.9649999999999,42.10500000000002,91.34500000000008,41.34500000000009
75%,1680.77,1865.3024999999998,2254.4,1531.5349999999999,140.85750000000013,485.175,98.85749999999999,140.85750000000013,90.85750000000013
max,2225.93,2166.88,2254.4,2175.54,1284.68,1768.9900000000002,816.66,1284.68,1234.68
