,above_line,above_line,above_line
,mean,amax,<lambda_0>
sequence_length,,,
1,12.153673163418292,273.0,14.0
2,54.13809523809524,441.0,69.0
3,115.30042918454936,846.0,148.0
4,195.936,832.0,233.0
5,394.8888888888889,1268.0,456.0
6,334.7142857142857,719.0,434.75
7,497.6,1101.0,515.75
8,530.0,772.0,622.0
9,880.5,1321.0,1166.5
10,623.0,623.0,623.0
11,1764.5,2033.0,1898.75
13,1377.5,1568.0,1472.75
15,1917.0,1917.0,1917.0
