,above_line,above_line,above_line
,mean,amax,<lambda_0>
sequence_length,,,
1,11.605919003115265,191.0,15.0
2,53.70668693009119,352.0,71.0
3,119.08661417322834,748.0,147.0
4,220.8125,1175.0,298.75
5,296.01724137931035,884.0,354.75
6,490.030303030303,1573.0,641.0
7,697.25,1460.0,814.5
8,791.0,2207.0,855.0
9,1034.25,1454.0,1124.75
10,736.0,924.0,830.0
12,674.0,674.0,674.0
16,2540.0,2540.0,2540.0
