,range_with_E0.5,original_fluc_rate,after_fluc_rate,original_fluc_points,after_fluc_points
0,abs,6081.0599999999995,1969.4300000000003,57,17
1,range,6081.0599999999995,3784.390000000001,57,30
2,range,6081.0599999999995,854.2600000000014,57,17
3,range_with_E0.5,6081.0599999999995,2364.190000000002,57,25
