sequence_length,total_fluctuation_sum,total_fluctuation_mean,total_fluctuation_max,average_fluctuation_mean,max_fluctuation_max,count
1,23224.260000000013,13.301408934707911,50.000000000000455,13.301408934707911,50.000000000000455,1746
2,36908.72000000001,35.35318007662836,100.00000000000045,17.67659003831418,50.000000000000455,1044
3,35225.8,56.36128000000001,150.00000000000023,18.78709333333334,50.000000000000455,625
4,34452.46000000001,85.9163591022444,200.00000000000023,21.4790897755611,50.000000000000455,401
5,26871.82,116.834,250.00000000000006,23.3668,50.009999999999934,230
6,23411.91,155.04576158940398,300.00000000000006,25.840960264900662,50.01000000000002,151
7,24631.45,190.94147286821706,350.0,27.277353266888152,50.00999999999999,129
8,16999.420000000002,215.18253164556964,399.99999999999955,26.897816455696205,50.000000000000455,79
9,16053.08,276.77724137931034,605.5899999999999,30.75302681992337,205.58999999999992,58
10,13726.289999999999,311.96113636363634,868.53,31.196113636363634,349.8299999999999,44
11,12042.73,430.09749999999997,551.19,39.09977272727273,55.03999999999997,28
12,12302.58,396.8574193548387,758.4200000000001,33.071451612903225,307.06,31
13,7387.57,369.3785,740.4800000000002,28.413730769230774,140.47000000000003,20
14,10540.08,479.0945454545454,766.6600000000003,34.221038961038964,124.08999999999992,22
15,9660.18,603.76125,1159.6999999999998,40.25075,459.69999999999993,16
16,3271.93,654.386,743.01,40.899125,50.00000000000023,5
17,5738.81,637.6455555555556,801.48,37.508562091503265,50.00000000000023,9
18,5131.63,733.09,1589.1499999999999,40.72722222222222,560.1,7
19,6088.929999999999,869.8471428571428,1101.6499999999999,45.78142857142857,179.43999999999994,7
20,2049.9500000000003,683.3166666666667,1000.0000000000001,34.16583333333333,50.00000000000023,3
21,9157.32,832.4836363636364,1290.26,39.642077922077924,290.25,11
22,7231.6,1033.0857142857144,1187.09,46.958441558441564,137.07999999999993,7
23,9543.51,1060.39,1436.2600000000002,46.103913043478265,343.0,9
24,6852.12,1142.02,1273.33,47.58416666666667,183.1300000000001,6
25,3484.2000000000003,1161.4,1248.16,46.455999999999996,58.17000000000007,3
26,8434.77,1405.795,2155.6,54.06903846153846,409.18000000000006,6
27,13236.8,1203.3454545454545,1483.1100000000001,44.56835016835017,185.8599999999999,11
28,6704.34,1340.868,1501.9299999999998,47.88814285714285,151.93999999999983,5
29,4631.54,1543.8466666666666,1893.43,53.23609195402299,225.91000000000008,3
30,3559.3600000000006,1779.6800000000003,1931.8100000000002,59.32266666666668,212.4300000000001,2
31,3291.62,1645.81,1692.23,53.090645161290325,221.12999999999988,2
32,4953.72,1651.24,1738.94,51.60125,188.35,3
33,1587.6100000000001,1587.6100000000001,1587.6100000000001,48.10939393939395,54.77999999999997,1
34,6661.620000000001,1665.4050000000002,1782.3200000000002,48.9825,172.56999999999994,4
35,9408.76,1881.752,1982.85,53.76434285714286,207.0,5
36,4592.070000000001,2296.0350000000003,2488.6400000000003,63.77875,685.3699999999999,2
37,4363.9800000000005,2181.9900000000002,2330.34,58.972702702702705,454.2299999999999,2
38,2201.34,2201.34,2201.34,57.93000000000001,195.04000000000008,1
39,12604.0,2100.6666666666665,2411.46,53.863247863247864,228.14,6
40,6263.969999999999,2087.99,2108.98,52.199749999999995,107.39999999999986,3
41,2223.2799999999997,2223.2799999999997,2223.2799999999997,54.22634146341463,178.8699999999999,1
44,2411.34,2411.34,2411.34,54.80318181818182,255.97000000000003,1
45,7026.65,2342.2166666666667,2447.29,52.04925925925926,166.36000000000013,3
50,2129.8799999999997,2129.8799999999997,2129.8799999999997,42.59759999999999,50.000000000000455,1
